compressive_strength_Mpa	time_lapse_days	element_type
25.1	28	element01
27.1	28	element01
35.5	28	element01
34.7	28	element01
34.8	28	element01
36.2	28	element01
35.2	28	element01
35.0	28	element01
29.7	28	element01
29.9	28	element01
29.7	28	element01
35.6	28	element01
36.2	28	element01
36.6	28	element01
26.1	28	element01
27.1	28	element01
27.5	28	element01
31.8	28	element01
31.7	28	element01
33.1	28	element01
31.2	28	element01
33.2	28	element01
32.4	28	element01
18.7	7	element01
18.4	7	element01
17.6	7	element01
28.4	7	element01
30.0	7	element01
28.7	7	element01
22.4	7	element01
22.9	7	element01
22.2	7	element01
18.8	7	element01
18.8	7	element01
18.8	7	element01
24.7	7	element01
24.0	7	element01
24.7	7	element01
19.7	7	element01
20.3	7	element01
20.6	7	element01
23.8	7	element01
23.7	7	element01
55.1	28	element02
54.6	28	element02
53.6	28	element02
45.6	28	element02
45.5	28	element02
45.6	28	element02
43.1	28	element02
43.0	28	element02
43.6	28	element02
43.5	28	element02
43.4	28	element02
43.5	28	element02
47.6	28	element02
48.3	28	element02
49.4	28	element02
46.6	28	element02
46.2	28	element02
46.8	28	element02
42.8	28	element02
44.2	28	element02
45.6	28	element02
42.9	28	element02
41.6	28	element02
40.0	28	element02
36.8	28	element02
36.2	28	element02
38.2	28	element02
37.7	28	element02
35.9	28	element02
35.6	28	element02
40.7	28	element02
40.4	28	element02
40.1	28	element02
49.1	28	element02
47.2	28	element02
47.7	28	element02
48.3	28	element02
48.8	28	element02
44.9	28	element02
31.2	28	element02
29.6	7	element02
29.6	7	element02
29.6	7	element02
34.3	7	element02
36.6	7	element02
35.4	7	element02
31.9	7	element02
31.0	7	element02
30.9	7	element02
33.0	7	element02
33.0	7	element02
32.3	7	element02
30.8	7	element02
30.6	7	element02
30.5	7	element02
27.6	7	element02
27.1	7	element02
28.7	7	element02
30.5	7	element02
30.3	7	element02
30.1	7	element02
36.8	7	element02
35.4	7	element02
26.3	7	element02
26.6	7	element02
31.8	7	element02
31.5	7	element02
