sequence	timelapse_min	water_temp_celsius	water_level_m	sensor_number
1	10	21.855	0.321	HOBO_U20_sensor6
2	20	22.238	0.323	HOBO_U20_sensor6
3	30	22.717	0.321	HOBO_U20_sensor6
4	40	23.196	0.326	HOBO_U20_sensor6
5	50	23.581	0.325	HOBO_U20_sensor6
6	60	23.966	0.327	HOBO_U20_sensor6
7	70	24.351	0.327	HOBO_U20_sensor6
8	80	24.738	0.327	HOBO_U20_sensor6
9	90	25.125	0.328	HOBO_U20_sensor6
10	100	25.513	0.324	HOBO_U20_sensor6
11	110	25.902	0.326	HOBO_U20_sensor6
12	120	26.292	0.327	HOBO_U20_sensor6
13	130	26.585	0.329	HOBO_U20_sensor6
14	140	26.977	0.329	HOBO_U20_sensor6
15	150	27.272	0.328	HOBO_U20_sensor6
16	160	27.567	0.327	HOBO_U20_sensor6
17	170	27.862	0.33	HOBO_U20_sensor6
18	180	28.258	0.329	HOBO_U20_sensor6
19	190	28.456	0.326	HOBO_U20_sensor6
1	10	21.664	0.311	HOBO_U20_sensor5
2	20	22.046	0.312	HOBO_U20_sensor5
3	30	22.525	0.314	HOBO_U20_sensor5
4	40	22.908	0.315	HOBO_U20_sensor5
5	50	23.388	0.314	HOBO_U20_sensor5
6	60	23.773	0.314	HOBO_U20_sensor5
7	70	24.158	0.312	HOBO_U20_sensor5
8	80	24.545	0.314	HOBO_U20_sensor5
9	90	24.931	0.313	HOBO_U20_sensor5
10	100	25.319	0.318	HOBO_U20_sensor5
11	110	25.708	0.315	HOBO_U20_sensor5
12	120	26.097	0.315	HOBO_U20_sensor5
13	130	26.39	0.316	HOBO_U20_sensor5
14	140	26.781	0.313	HOBO_U20_sensor5
15	150	27.075	0.315	HOBO_U20_sensor5
16	160	27.37	0.315	HOBO_U20_sensor5
17	170	27.764	0.317	HOBO_U20_sensor5
18	180	28.06	0.312	HOBO_U20_sensor5
19	190	28.357	0.315	HOBO_U20_sensor5
1	10	21.473	0.32	HOBO_U20_sensor2
2	20	21.855	0.322	HOBO_U20_sensor2
3	30	22.333	0.321	HOBO_U20_sensor2
4	40	22.812	0.321	HOBO_U20_sensor2
5	50	23.196	0.323	HOBO_U20_sensor2
6	60	23.581	0.323	HOBO_U20_sensor2
7	70	24.062	0.323	HOBO_U20_sensor2
8	80	24.448	0.321	HOBO_U20_sensor2
9	90	24.835	0.323	HOBO_U20_sensor2
10	100	25.125	0.326	HOBO_U20_sensor2
11	110	25.513	0.324	HOBO_U20_sensor2
12	120	25.902	0.328	HOBO_U20_sensor2
13	130	26.292	0.326	HOBO_U20_sensor2
14	140	26.585	0.326	HOBO_U20_sensor2
15	150	26.977	0.325	HOBO_U20_sensor2
16	160	27.272	0.328	HOBO_U20_sensor2
17	170	27.567	0.329	HOBO_U20_sensor2
18	180	27.862	0.327	HOBO_U20_sensor2
19	190	28.159	0.326	HOBO_U20_sensor2
1	10	21.855	0.158	HOBO_U20_sensor1
2	20	22.238	0.157	HOBO_U20_sensor1
3	30	22.717	0.152	HOBO_U20_sensor1
4	40	23.196	0.154	HOBO_U20_sensor1
5	50	23.581	0.15	HOBO_U20_sensor1
6	60	23.966	0.152	HOBO_U20_sensor1
7	70	24.351	0.146	HOBO_U20_sensor1
8	80	24.738	0.147	HOBO_U20_sensor1
9	90	25.125	0.144	HOBO_U20_sensor1
10	100	25.513	0.143	HOBO_U20_sensor1
11	110	25.902	0.143	HOBO_U20_sensor1
12	120	26.292	0.142	HOBO_U20_sensor1
13	130	26.585	0.141	HOBO_U20_sensor1
14	140	26.977	0.136	HOBO_U20_sensor1
15	150	27.272	0.137	HOBO_U20_sensor1
16	160	27.567	0.137	HOBO_U20_sensor1
17	170	27.862	0.138	HOBO_U20_sensor1
18	180	28.258	0.132	HOBO_U20_sensor1
19	190	28.456	0.183	HOBO_U20_sensor1
1	10	21.473	0.79	HOBO_U20_sensor3
2	20	21.76	0.784	HOBO_U20_sensor3
3	30	22.238	0.786	HOBO_U20_sensor3
4	40	22.717	0.785	HOBO_U20_sensor3
5	50	23.1	0.787	HOBO_U20_sensor3
6	60	23.581	0.785	HOBO_U20_sensor3
7	70	23.966	0.788	HOBO_U20_sensor3
8	80	24.351	0.79	HOBO_U20_sensor3
9	90	24.738	0.79	HOBO_U20_sensor3
10	100	25.125	0.792	HOBO_U20_sensor3
11	110	25.513	0.793	HOBO_U20_sensor3
12	120	25.805	0.796	HOBO_U20_sensor3
13	130	26.195	0.798	HOBO_U20_sensor3
14	140	26.585	0.798	HOBO_U20_sensor3
15	150	26.879	0.798	HOBO_U20_sensor3
16	160	27.173	0.802	HOBO_U20_sensor3
17	170	27.567	0.799	HOBO_U20_sensor3
18	180	27.862	0.8	HOBO_U20_sensor3
19	190	28.159	0.802	HOBO_U20_sensor3
