compressive_strength_Mpa	company	date
46.6	LAB1	date1
46.2	LAB1	date1
46.8	LAB1	date1
42.8	LAB1	date2
44.2	LAB1	date2
45.6	LAB1	date2
36.8	LAB1	date3
36.2	LAB1	date3
38.2	LAB1	date3
37.7	LAB1	date3
35.9	LAB1	date3
35.6	LAB1	date3
42.9	LAB1	date4
41.6	LAB1	date4
40.0	LAB1	date4
40.7	LAB1	date5
40.4	LAB1	date5
40.1	LAB1	date5
49.1	LAB1	date6
47.2	LAB1	date6
47.7	LAB1	date6
48.3	LAB1	date6
48.8	LAB1	date6
44.9	LAB1	date6
55.1	LAB2	date7
54.6	LAB2	date7
53.6	LAB2	date7
45.6	LAB2	date7
45.5	LAB2	date7
45.6	LAB2	date7
43.1	LAB2	date7
43.0	LAB2	date7
43.6	LAB2	date7
43.5	LAB2	date7
43.4	LAB2	date7
43.5	LAB2	date7
47.6	LAB2	date8
48.3	LAB2	date8
49.4	LAB2	date8
