sequence	date	vol_L	dist_km	cost_Col	cost_per_L	vol_GAL	performance_km_Gal	vehicle
1	3/27/2013	17.3	320	12092.7	699	4.57	70.02	Nissan_Tiida
2	3/29/2013	8.62	160	6008.14	697	2.28	70.26	Nissan_Tiida
3	4/1/2013	11.4	205	7999.95	701.75	3.01	68.07	Nissan_Tiida
4	4/8/2013	20.88	357	15054.06	720.98	5.52	64.72	Nissan_Tiida
5	4/16/2013	35.32	590	25465.72	721	9.33	63.23	Nissan_Tiida
6	4/25/2013	27.74	435	20000.54	721	7.33	59.36	Nissan_Tiida
7	5/2/2013	38.62	680	26995.38	699	10.2	66.65	Nissan_Tiida
8	5/4/2013	22.89	444	16000.11	699	6.05	73.43	Nissan_Tiida
9	5/11/2013	27.35	455	19090.3	698	7.23	62.97	Nissan_Tiida
10	5/17/2013	35.45	542	24999.34	705.2	9.36	57.88	Nissan_Tiida
11	6/2/2013	29.91	520	21000.11	702.11	7.9	65.81	Nissan_Tiida
12	6/7/2013	34.19	522	24001.38	702	9.03	57.79	Nissan_Tiida
13	6/12/2013	28.49	492	19999.98	702	7.53	65.37	Nissan_Tiida
14	6/21/2013	28.49	460	19999.98	702	7.53	61.12	Nissan_Tiida
15	6/24/2013	22.92	413	15995.87	697.9	6.05	68.21	Nissan_Tiida
16	7/10/2013	22.64	400	16004.22	706.9	5.98	66.88	Nissan_Tiida
17	7/20/2013	31.12	485	21998.73	706.9	8.22	58.99	Nissan_Tiida
18	7/31/2013	29.29	470	20708.03	707	7.74	60.74	Nissan_Tiida
19	8/11/2013	31.1	530	22000.14	707.4	8.22	64.51	Nissan_Tiida
20	8/19/2013	33.94	543	24000	707.13	8.97	60.56	Nissan_Tiida
21	8/30/2013	28.25	498	20000	707.96	7.46	66.73	Nissan_Tiida
22	9/2/2013	24.02	430	17000	707.83	6.34	67.77	Nissan_Tiida
23	9/16/2013	38	600	27703	729.01	10.04	59.77	Nissan_Tiida
24	10/2/2013	31.55	572	23000	729	8.33	68.63	Nissan_Tiida
25	10/5/2013	17.1	289	12000	701.75	4.52	63.98	Nissan_Tiida
26	10/13/2013	37.05	582	26000	701.83	9.79	59.47	Nissan_Tiida
27	10/25/2013	24.22	420	17000	701.9	6.4	65.64	Nissan_Tiida
28	10/31/2013	34.19	570	24000	701.92	9.03	63.1	Nissan_Tiida
29	11/19/2013	40.05	669	26990	673.96	10.58	63.24	Nissan_Tiida
30	11/27/2013	38.53	640	26000	674.76	10.18	62.87	Nissan_Tiida
31	12/9/2013	38.4	651	25000	651.01	10.14	64.17	Nissan_Tiida
32	12/26/2013	35.33	613	23000	651	9.33	65.68	Nissan_Tiida
33	12/28/2013	15.38	287	10000	650.2	4.06	70.64	Nissan_Tiida
34	1/2/2014	33.8	565	22000	650.89	8.93	63.28	Nissan_Tiida
35	1/8/2014	32.26	531	21000	650.96	8.52	62.31	Nissan_Tiida
36	1/17/2014	21.5	407	14000	651.16	5.68	71.66	Nissan_Tiida
37	1/27/2014	31.17	500	20200	647.98	8.24	60.71	Nissan_Tiida
38	2/10/2014	27.2	469	18000	661.84	7.18	65.28	Nissan_Tiida
39	2/15/2014	23.11	420	15300	662.05	6.11	68.8	Nissan_Tiida
40	2/25/2014	34.75	585	23000	661.87	9.18	63.73	Nissan_Tiida
41	3/6/2014	12.09	205	8000	661.7	3.19	64.19	Nissan_Tiida
42	3/10/2014	33.48	550	23000	686.98	8.84	62.19	Nissan_Tiida
43	3/15/2014	20.4	350	14000	686.27	5.39	64.95	Nissan_Tiida
44	3/21/2014	32.03	521	22000	686.96	8.46	61.58	Nissan_Tiida
45	3/28/2014	34.93	635	24000	687.01	9.23	68.81	Nissan_Tiida
46	4/9/2014	30.43	500	22000	722.97	8.04	62.2	Nissan_Tiida
47	4/19/2014	32	582	23200	725	8.45	68.85	Nissan_Tiida
48	4/30/2014	34.58	540	25000	723	9.13	59.12	Nissan_Tiida
49	5/3/2014	19.78	400	14300	722.95	5.23	76.55	Nissan_Tiida
50	5/12/2014	27.19	426	19660	723.06	7.18	59.31	Nissan_Tiida
51	5/23/2014	22.49	405	17000	755.89	5.94	68.17	Nissan_Tiida
52	5/30/2014	36.84	620	28000	760	9.73	63.7	Nissan_Tiida
53	6/8/2014	22.4	370	17026	760.09	5.92	62.53	Nissan_Tiida
54	6/13/2014	26.29	483	20000	760.75	6.95	69.55	Nissan_Tiida
55	6/21/2014	28.92	447	22000	760.72	7.64	58.51	Nissan_Tiida
56	7/4/2014	25.39	500	20000	787.71	6.71	74.55	Nissan_Tiida
57	7/15/2014	30.46	510	24000	787.92	8.05	63.38	Nissan_Tiida
58	7/24/2014	21.58	395	17000	787.77	5.7	69.29	Nissan_Tiida
59	7/26/2014	20.32	385	16000	787.4	5.37	71.72	Nissan_Tiida
60	7/31/2014	22.86	415	18000	787.4	6.04	68.72	Nissan_Tiida
61	8/5/2014	34.53	555	27000	781.93	9.12	60.84	Nissan_Tiida
62	8/14/2014	28.14	505	22000	781.81	7.43	67.93	Nissan_Tiida
63	8/20/2014	31.97	557	25000	781.98	8.45	65.95	Nissan_Tiida
64	9/17/2014	34.57	585	26000	752.1	9.13	64.06	Nissan_Tiida
65	9/23/2014	35.56	578	26918	756.97	9.39	61.53	Nissan_Tiida
66	10/3/2014	21.5	416	16000	744.19	5.68	73.24	Nissan_Tiida
67	10/8/2014	32.26	562	24000	743.96	8.52	65.95	Nissan_Tiida
68	10/22/2014	29.58	485	22000	743.75	7.81	62.07	Nissan_Tiida
69	10/30/2014	33.48	618	24000	716.85	8.84	69.87	Nissan_Tiida
70	11/6/2014	16.74	280	12000	716.85	4.42	63.32	Nissan_Tiida
71	11/13/2014	35	580	18000	514.29	9.25	62.73	Nissan_Tiida
72	11/14/2014	32.64	470	23500	719.98	8.62	54.51	Nissan_Tiida
73	11/20/2014	27.78	456	20000	719.94	7.34	62.14	Nissan_Tiida
74	11/30/2014	34.72	635	25000	720.05	9.17	69.23	Nissan_Tiida
75	12/5/2014	30.54	530	20000	654.88	8.07	65.69	Nissan_Tiida
76	12/15/2014	32	593	24000	750	8.45	70.15	Nissan_Tiida
77	12/28/2014	35.11	644	23000	655.08	9.28	69.43	Nissan_Tiida
78	1/3/2015	13.74	270	9000	655.02	3.63	74.39	Nissan_Tiida
79	1/7/2015	18.32	340	12000	655.02	4.84	70.25	Nissan_Tiida
80	1/13/2015	30.06	584	21000	698.6	7.94	73.54	Nissan_Tiida
81	1/22/2015	34.32	520	18945	551.99	9.07	57.35	Nissan_Tiida
82	1/31/2015	31.41	590	15800	503.02	8.3	71.1	Nissan_Tiida
83	2/6/2015	27.84	473	14000	502.87	7.35	64.31	Nissan_Tiida
84	2/14/2015	35.61	680	17900	502.67	9.41	72.29	Nissan_Tiida
85	2/25/2015	35.8	602	18000	502.79	9.46	63.65	Nissan_Tiida
86	2/28/2015	15.9	320	8000	503.14	4.2	76.18	Nissan_Tiida
87	3/6/2015	25.85	435	13000	502.9	6.83	63.7	Nissan_Tiida
88	3/12/2015	36.33	618	19800	545	9.6	64.39	Nissan_Tiida
89	3/26/2015	31.2	555	17000	544.87	8.24	67.34	Nissan_Tiida
90	4/6/2015	22.95	360	14000	610.02	6.06	59.38	Nissan_Tiida
91	4/17/2015	20.91	410	12000	573.89	5.52	74.22	Nissan_Tiida
92	4/26/2015	31.75	618	18222	573.92	8.39	73.68	Nissan_Tiida
93	5/4/2015	19.91	392	10850	544.95	5.26	74.53	Nissan_Tiida
94	5/14/2015	26.09	390	15000	574.93	6.89	56.59	Nissan_Tiida
95	5/20/2015	34.78	617	20000	575.04	9.19	67.15	Nissan_Tiida
96	5/30/2015	29.51	573	18000	609.96	7.8	73.5	Nissan_Tiida
97	6/18/2015	29.5	495	18000	610.17	7.79	63.52	Nissan_Tiida
98	6/20/2015	11.5	270	7000	608.7	3.04	88.87	Nissan_Tiida
99	7/17/2015	23.6	394	15000	635.59	6.23	63.2	Nissan_Tiida
100	7/24/2015	29.87	460	19000	636.09	7.89	58.3	Nissan_Tiida
101	7/29/2015	33.02	594	21000	635.98	8.72	68.1	Nissan_Tiida
102	8/3/2015	29.75	466	19000	638.66	7.86	59.29	Nissan_Tiida
103	8/12/2015	34.43	588	22000	638.98	9.1	64.65	Nissan_Tiida
104	8/15/2015	15.65	322	10000	638.98	4.13	77.88	Nissan_Tiida
105	8/28/2015	20.25	363	13000	641.98	5.35	67.86	Nissan_Tiida
106	9/4/2015	33.17	600	20000	602.95	8.76	68.47	Nissan_Tiida
107	9/12/2015	24.87	471	15000	603.14	6.57	71.69	Nissan_Tiida
108	9/18/2015	33.7	515	20322	603.03	8.9	57.85	Nissan_Tiida
